ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
1,25,1,3,6,19,691.3,4860,417.55,2880,152,108000
1,26,2,3,14,74,731.6,5250,71.58,510,80,20400
1,8,8,1,1,4,545.5,3660,268.27,1800,35,63000
100,28,4,3,1,8,312,7830,98.1,2520,12.5,31500
100,32,8,3,1,8,68.3,1710,406.82,10800,24,129600
101,24,12,2,1,8,255.8,5580,56.02,1170,11.5,13455
101,26,2,3,1,8,352.5,7470,109.4,2340,11.5,26910
102,38,2,4,6,19,115.7,2610,115.7,2610,13,33930
102,39,3,4,10,59,1573.4,35910,179.53,4050,12.25,49612.5
102,4,4,1,10,59,828.7,19100,475.36,10800,11,118800
103,40,4,4,6,19,1469.72,27900,756.3,14400,28,201600
103,41,5,4,6,19,86.3,7200,701.3,13200,13.5,178200
103,42,6,4,6,19,91.1,1700,514.15,9600,12.75,122400
103,43,7,4,6,19,687.1,12800,331.2,6000,12.75,76500
103,44,8,4,6,19,2334,45680,994.04,19200,38.25,244800
103,45,9,4,7,45,2653.7,52700,3822.91,75600,63.5,957600
103,46,10,4,6,19,524,10000,311.84,6000,12.75,76500
104,44,8,4,10,59,1190.5,21300,557.05,10000,14,140000
106,10,10,1,9,49,471.7,9000,332.38,6300,28,88200
106,11,11,1,9,54,936.6,17820,480.32,9000,28,126000
106,12,12,1,9,53,659,12510,148.11,2700,16,43200
106,13,1,2,9,49,434.5,8478,561.85,10800,58,154800
106,18,6,2,9,49,441.4,8250,2329.31,45900,56.5,644850
106,19,7,2,9,49,1054.1,20010,975.49,18000,29,261000
106,20,8,2,9,49,645.4,12090,392.36,7200,29,104400
106,21,9,2,9,49,950.6,17640,436.41,8100,43.5,117450
106,22,10,2,9,49,1706.8,32340,197.79,3600,31.5,56700
106,23,11,2,9,49,682.4,13290,241.14,4500,14.5,65250
106,24,12,2,9,49,163.8,3100,376.8,7200,31.5,111150
106,25,1,3,9,49,523,9990,89.64,1800,14.5,26100
106,26,2,3,9,54,142.3,2670,480.76,9000,29,130500
106,28,4,3,9,49,15.3,300,1216.529,22650,61,339900
106,29,5,3,9,49,322.1,6360,623.03,11700,45,175500
106,30,6,3,9,49,1109.9,21300,1838.74,35100,107,531900
106,31,7,3,9,54,1179.3,21990,337.33,6300,30,94500
106,32,8,3,9,49,2206.4,41220,971.44,18000,77,277200
106,33,9,3,9,49,790.4,14700,195.6,3600,15,54000
106,34,10,3,9,49,917.7,17460,1785.25,33300,119,495000
106,36,12,3,9,49,605.9,11460,1091.41,20700,92,319500
106,38,2,4,9,49,648.5,12030,1154.87,21600,75,324000
106,39,3,4,9,49,2746.7,52500,1332.62,25200,76,382500
106,4,4,1,9,49,2142.7,39420,1545.24,27900,100,396000
106,40,4,4,9,49,2517.5,48930,1371.9,27000,64,432000
106,41,5,4,9,49,2157.4,41220,2069.3,39600,113,636300
106,42,6,4,9,49,1889.6,36180,1311.29,25200,64,403200
106,43,7,4,9,49,1678,32100,561.39,10800,65,175500
106,44,8,4,9,53,1001.3,19680,1321.15,25200,97,405900
106,45,9,4,9,49,324.8,6270,1393.05,26850,114,435450
106,46,10,4,9,53,36.3,660,547.54,10500,65,170100
106,48,12,4,9,49,364.3,7320,984.1,18900,77,287700
106,49,1,5,9,49,1021.6,19800,440.1,8400,30,126000
106,5,5,1,9,49,2455.4,48395,761.66,15300,28,214200
106,50,2,5,9,49,1036.7,19500,939.33,17850,107,269850
106,51,3,5,9,49,1175.2,21600,1677.54,31500,92,476700
106,6,6,1,9,49,2920.3,59550,1931.66,38700,100,547200
106,7,7,1,9,49,2396.8,50580,1091.81,22500,58,320400
106,8,8,1,9,53,1380.9,27670,1083.43,21600,72,306000
106,9,9,1,9,53,1104.2,21472,912.32,18000,74,261000
107,10,10,1,1,3,3050.5,59532,4974.06,94500,211.5,1337400
107,11,11,1,1,8,5585.2,108746,7671.34,146700,273.4,2007450
107,12,12,1,1,6,7493.7,146808,9559.985,184050,448.9,2572920
107,13,1,2,12,64,15559.7,301660,15416.542,296550,683,4082400
107,14,2,2,12,63,16171.61,314549,5160.518,99900,240,1413000
107,15,3,2,1,6,8524.7,167928,3399.51,66630,160.5,938400
107,17,5,2,1,6,4070.4,78930,12806.9,248400,267,3492000
107,18,6,2,12,64,4086.5,80820,9286.21,180000,264.5,2531700
107,19,7,2,1,8,5672.4,111030,6053.19,117000,210,1638000
107,20,8,2,16,79,4936,95435,4730,91800,156.5,1287900
107,21,9,2,16,79,4900.9,94685,7208.06,138900,265.5,1934700
107,22,10,2,1,3,7310,141030,7756.642,148500,315.5,1989450
107,23,11,2,1,8,5885.8,114068,6070.07,116460,364,1616760
107,24,12,2,1,3,13744.5,267648,13231.33,251640,537.5,3545910
