ITEM ID,TIME ID,TIME_M ID,TIME_Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
1,13,1,2,1,4,,,107.34,720,35,25200
1,20,8,2,7,27,,,53.64,360,40,14400
1,22,10,2,1,7,,,107.31,720,40,28800
1,28,4,3,1,8,,,54.22,360,36,12960
1,30,6,3,1,7,,,48.42,360,40,14400
1,31,7,3,1,8,,,52.91,360,36,12960
1,36,12,3,1,8,,,50.18,360,36,12960
1,37,1,4,14,69,,,105.42,720,70,25200
1,38,2,4,1,7,,,53.83,360,40,14400
1,39,3,4,1,8,,,52.7,360,36,12960
1,40,4,4,17,81,,,53.8,360,36,12960
1,41,5,4,1,7,,,161.94,1080,76,41760
1,42,6,4,1,8,,,51.58,360,36,12960
1,43,7,4,1,8,,,51.9,360,36,12960
1,45,9,4,1,8,,,50.82,360,36,12960
1,47,11,4,6,19,,,107.4,750,40,30000
1,48,12,4,1,8,,,159.54,1140,153,41580
1,49,1,5,1,8,,,155.04,1080,107,38520
1,5,5,1,1,4,,,44,300,35,10500
1,50,2,5,12,63,,,49.48,360,40,14400
10,26,2,3,7,37,,,10.6,10.6,135,1431
10,28,4,3,7,37,,,46,46,270,6210
100,30,6,3,1,8,,,155.08,4050,12,48600
100,38,2,4,6,19,,,162.8,4050,12,48600
100,45,9,4,1,8,,,109.16,2700,12,32400
102,10,10,1,7,45,,,107.7,2400,10.5,25200
102,11,11,1,7,45,,,1312.64,30000,9,270000
102,15,3,2,6,19,,,637.26,14340,9.5,136230
102,45,9,4,7,45,,,229.68,5400,10.5,56700
102,46,10,4,7,45,,,631.98,14850,10.5,155925
102,48,12,4,1,5,,,2309.65,54000,20.5,543375
102,49,1,5,7,45,,,1448.66,33750,10,337500
105,35,11,3,1,8,,,4.31,90,14,1260
105,36,12,3,10,59,,,63.92,1350,13,17550
105,37,1,4,14,69,,,189.68,4050,12,48600
105,38,2,4,6,19,,,123.01,2700,13,35100
105,42,6,4,1,8,,,114.18,2340,40,30060
105,7,7,1,1,1,,,185.05,3600,14.5,52200
106,14,2,2,9,49,,,903.01,17100,70,239400
106,15,3,2,9,49,,,595.59,11700,44,169200
106,17,5,2,9,49,,,2645.3,54000,56,756000
106,27,3,3,9,54,,,928.49,17100,76,257400
106,37,1,4,9,49,,,242.26,4500,15,67500
106,47,11,4,9,53,,,925.61,17850,82,290850
108,12,12,1,12,63,,,101.8,1800,14.5,26100
108,14,2,2,14,75,,,281.9,5400,14,75600
108,19,7,2,12,63,,,235.3,4500,28,63450
108,22,10,2,6,21,,,46.8,900,15,13500
108,23,11,2,6,21,,,93.6,1800,15,27000
108,6,6,1,12,63,,,46.7,900,14.5,13050
108,7,7,1,1,8,,,45.6,900,13.25,11925
11,6,6,1,1,3,,,185.71,185.7,180,33427.8
111,23,11,2,1,3,,,422.97,9000,26,117000
111,24,12,2,1,7,,,165.82,3600,14,50400
111,27,3,3,7,45,,,4.56,100,14,1400
111,37,1,4,14,69,,,125.437,2700,12,32400
111,6,6,1,1,3,,,110.52,2400,14,33600
111,8,8,1,14,69,,,551.45,12000,11.4,136800
112,36,12,3,10,59,,,54.3,1350,12,16200
114,11,11,1,1,4,,,514.45,9900,14.5,143550
114,17,5,2,14,76,,,1653.35,30690,45,445140
114,21,9,2,1,4,,,684.96,13500,30,202500
114,23,11,2,1,3,,,91.92,1800,15,27000
114,27,3,3,1,7,,,425.84,8100,32,129600
114,45,9,4,1,4,,,231.97,4320,14,60480
114,48,12,4,1,4,,,231,4320,13.5,58320
114,49,1,5,1,4,,,233.7,4320,13.5,58320
114,6,6,1,1,3,,,852.65,16200,83.25,224775
115,10,10,1,9,49,,,114.97,2100,27,28350
115,19,7,2,17,82,,,228.41,4500,12.5,56250
115,20,8,2,17,82,,,228.21,4500,12.5,56250
115,22,10,2,17,82,,,230.29,4500,12.5,56250
115,28,4,3,17,82,,,176.49,3600,13,46800
115,31,7,3,9,54,,,41.52,900,14.5,13050
115,51,3,5,17,82,,,196.31,4080,52.5,54600
115,7,7,1,9,54,,,49.16,900,13.5,12150
116,14,2,2,14,75,,,156.16,2700,15.5,41850
116,18,6,2,12,63,,,649.03,11700,46.5,180450
116,20,8,2,1,8,,,247.97,4500,44.5,66600
116,22,10,2,7,22,,,256.326,4500,29.5,67050
116,24,12,2,12,63,,,268.88,4500,16,72000
116,33,9,3,12,63,,,115.56,1800,17,30600
116,34,10,3,12,63,,,137.08,2160,17,36720
116,36,12,3,12,63,,,134.22,2160,17,36720
116,38,2,4,14,75,,,112.84,1800,17,30600
116,39,3,4,12,63,,,284.36,4500,17,76500
116,40,4,4,1,8,,,51.56,810,17,13770
116,41,5,4,12,63,,,133.58,2160,17,36720
116,43,7,4,12,63,,,243.81,3960,34,67320
116,44,8,4,1,8,,,56.08,900,15,13500
116,45,9,4,12,63,,,132.1,2160,16.5,35640
116,48,12,4,12,63,,,386.94,6300,44.5,94050
116,51,3,5,1,6,,,55.72,900,15,13500
116,6,6,1,12,63,,,270.5,4500,15.25,68625
116,7,7,1,12,63,,,921.2,15300,43.9,215010
117,31,7,3,7,45,,,554.325,7500,91,167250
118,17,5,2,14,69,,,378.44,7200,12,86400
118,20,8,2,14,69,,,4.74,90,13,1170
118,30,6,3,14,69,,,93.06,1800,14,25200
118,34,10,3,14,69,,,676.45,12600,42,176400
118,37,1,4,14,69,,,238.5,4500,14,63000
118,44,8,4,14,69,,,230.18,4500,14,63000
118,48,12,4,14,69,,,235.25,4500,14,63000
118,49,1,5,14,69,,,564.83,10800,14,151200
119,17,5,2,14,69,,,2038.4,40500,25,504000
119,18,6,2,14,69,,,779.56,15300,20.2,167760
119,19,7,2,14,69,,,441.1,8100,13,105300
119,20,8,2,14,69,,,42.41,810,13,10530
119,21,9,2,14,69,,,4.44,90,13,1170
119,27,3,3,7,44,,,8.94,180,18,3240
119,44,8,4,14,69,,,234.7,4500,14,63000
119,48,12,4,14,69,,,229.26,4500,14,63000
119,5,5,1,16,80,,,1742.1,31500,25.8,406350
119,7,7,1,16,80,,,490.8,9000,13.4,120600
12,22,10,2,16,78,,,56.76,300,60,18000
12,27,3,3,14,66,,,17.02,90,65,5850
12,34,10,3,12,64,,,17.28,90,80,7200
12,46,10,4,7,34,,,2.25,15,82,1230
12,5,5,1,1,5,,,5.68,30,65.05,1951.5
120,17,5,2,14,69,,,4086.5,81000,25,999000
120,44,8,4,14,69,,,1417.5,27000,42,378000
120,47,11,4,14,69,,,2803.19,54000,56,756000
120,48,12,4,14,69,,,467.32,9000,14,126000
120,49,1,5,14,69,,,1984.59,36000,28,504000
121,17,5,2,14,69,,,558.17,9900,12,118800
121,18,6,2,14,69,,,251,4500,8,36000
121,19,7,2,14,69,,,192.09,3420,13,44460
121,46,10,4,14,69,,,698.1,13500,14,189000
121,48,12,4,14,69,,,1148.87,22500,14,315000
121,49,1,5,14,69,,,958.21,18000,14,252000
121,8,8,1,14,69,,,517.85,9000,13.4,120600
122,14,2,2,14,76,,,43.56,600,25,15000
122,15,3,2,3,10,,,1846.36,24750,231,519750
122,23,11,2,3,10,,,142.94,2010,42,42210
122,4,4,1,14,76,,,1075.7,14100,151,298500
123,4,4,1,16,80,,,346.5,6300,12.4,78120
123,5,5,1,16,80,,,884.65,16200,12.4,200880
124,37,1,4,14,69,,,222.5,4500,14,63000
124,43,7,4,14,69,,,317.34,6300,14,88200
124,48,12,4,14,69,,,225,4500,14,63000
124,49,1,5,14,69,,,360.13,7200,14,100800
126,14,2,2,9,49,,,187.9,2400,44,52800
126,18,6,2,9,49,,,462.33,6000,68,136800
126,19,7,2,9,49,,,225.16,3000,23,69000
126,22,10,2,9,49,,,141.87,1800,47,42000
126,23,11,2,9,49,,,95.81,1200,23,27600
126,24,12,2,9,49,,,139.93,1800,23,41400
126,27,3,3,9,54,,,141.37,1800,23,41400
126,29,5,3,9,49,,,97.74,1200,24,28800
126,30,6,3,9,49,,,524.14,6600,120,158400
126,31,7,3,9,54,,,160.38,2030,24,48720
126,40,4,4,9,49,,,238.96,3000,26,78000
126,41,5,4,9,49,,,234.078,3000,52,78000
126,46,10,4,9,53,,,244.45,3000,52,78000
126,47,11,4,9,53,,,193,2400,52,62400
126,6,6,1,9,49,,,140.5,1800,45,40200
126,7,7,1,9,49,,,281.8,3600,44,79200
127,43,7,4,1,8,,,43.7,600,22,13200
127,48,12,4,9,53,,,47.2,600,25,15000
128,12,12,1,5,12,,,83.54,1080,22,23760
128,6,6,1,1,8,,,91.05,1200,40,24000
128,7,7,1,1,8,,,44.4,600,20,12000
128,8,8,1,5,12,,,65.24,900,23,20700
129,11,11,1,9,49,,,90.55,900,56,25200
129,12,12,1,9,49,,,90.3,900,28,25200
129,14,2,2,9,54,,,91.55,900,28,25200
129,15,3,2,9,49,,,137.59,1350,56,37800
129,19,7,2,9,49,,,95.41,900,29,26100
129,22,10,2,9,49,,,96.2,900,29,26100
129,24,12,2,9,49,,,146.59,1350,58,39150
129,25,1,3,9,49,,,97.85,900,29,26100
129,27,3,3,9,54,,,98.07,900,29,26100
129,30,6,3,9,49,,,95.6,900,30,27000
129,31,7,3,9,49,,,48.58,450,30,13500
129,32,8,3,9,49,,,195.15,1800,60,54000
129,38,2,4,9,49,,,87.72,900,30,27000
129,39,3,4,9,49,,,184.64,1800,60,54000
129,4,4,1,9,49,,,47.19,450,28,12600
129,40,4,4,9,49,,,90.8,900,32,28800
129,41,5,4,9,49,,,90.24,900,32,28800
129,44,8,4,9,49,,,49.12,450,32,14400
129,49,1,5,9,49,,,91.2,900,30,27000
129,5,5,1,9,49,,,91.55,900,56,25200
129,50,2,5,9,49,,,229.26,2250,60,67500
129,51,3,5,9,53,,,184.6,1800,64,57600
129,6,6,1,9,49,,,139.6,1350,56,37800
129,8,8,1,9,54,,,46.5,450,28,12600
129,9,9,1,9,49,,,46.5,450,28,12600
13,18,6,2,14,74,,,104.24,900,64,28800
13,20,8,2,14,74,,,69.36,600,64,19200
13,21,9,2,14,74,,,35.01,300,32,9600
13,23,11,2,6,21,,,122.95,1050,64,33600
13,24,12,2,6,19,,,125.6,1080,96,34560
13,26,2,3,14,76,,,70,600,40,24000
13,27,3,3,14,66,,,34.2,300,34,10200
13,28,4,3,14,66,,,85.56,750,67,25050
13,30,6,3,14,76,,,34.23,300,35,10500
13,31,7,3,14,66,,,52.47,450,34,15300
13,32,8,3,14,76,,,6.9,60,40,2400
13,33,9,3,14,66,,,20.7,180,34,6120
13,36,12,3,14,66,,,102.45,900,66,29700
13,37,1,4,14,76,,,68.8,600,40,24000
13,38,2,4,14,74,,,69.4,600,33,19800
13,4,4,1,6,21,,,51.9,450,31,13950
13,41,5,4,9,49,,,73.47,630,73,22050
13,42,6,4,14,66,,,50.7,450,35,15750
13,45,9,4,14,66,,,35.4,300,35,10500
13,46,10,4,14,74,,,53.1,450,33,14850
13,47,11,4,7,23,,,10.14,90,35,3150
13,50,2,5,14,66,,,54.1,450,35,15750
130,23,11,2,1,8,,,89.85,900,29,26100
130,26,2,3,1,8,,,45,450,29,13050
130,28,4,3,5,12,,,89.85,900,31,27900
130,30,6,3,5,12,,,63.85,630,31,19530
130,32,8,3,6,21,,,70.47,690,31,21390
130,34,10,3,9,49,,,74.29,750,57,42750
130,36,12,3,9,49,,,74.75,750,57,42750
130,7,7,1,14,73,,,134.99,1350,28,37800
131,22,10,2,12,63,,,1728.7,16650,269,503550
131,42,6,4,16,78,,,1266.11,12600,306,382050
131,49,1,5,1,4,,,4102.85,40050,309,1122750
131,6,6,1,1,8,,,1098.73,10800,236,318600
131,7,7,1,1,8,,,1904.72,18450,452,513450
131,8,8,1,1,8,,,919.08,9000,200,254250
132,33,9,3,1,4,,,231.59,2274,31,70494
134,11,11,1,9,49,,,46.2,450,27,12150
134,12,12,1,11,61,,,46.5,450,28,12600
134,13,1,2,7,37,,,15.24,150,32,4800
134,20,8,2,7,37,,,21.84,210,17.5,6615
134,4,4,1,7,37,,,33.92,330,16,10560
