Year,Item Name,Amount
2019,SF54 BLUE,27795750
2019,24MESHLQ42 BLUE,15877890
2019,HF54 BLUE,13669950
2019,KANGAROO54 BLUE,12150350
2019,PF54 BLUE,11663880
2020,SF54 BLUE,38086375
2020,HF54 BLUE,27166125
2020,24MESHLQ42 BLUE,24470220
2020,PF54 BLUE,17271863
2020,KANGAROO54 BLUE,15768888
2021,SF54 BLUE,47677420
2021,24MESHLQ42 BLUE,31302735
2021,HF54 BLUE,31174200
2021,SF104 GREEN,18802779
2021,PF54 BLUE,18742604
2022,24MESHLQ42 BLUE,24700920
2022,SF54 BLUE,20912610
2022,SF104 GREEN,15563290
2022,KANGAROO54 BLUE,15228301
2022,PF54 BLUE,12295101
2023,HDPE-HaldiaT9,7689000
2023,SF104 GREEN,4620566
2023,24MESHLQ42 BLUE,4432665
2023,SF54 BLUE,4350801
2023,KANGAROO54 BLUE,3678750
