Year,State Name,Amount
2019,West Bengal,70446435
2019,Karnataka,39723033
2019,Andhra Pradesh,36371149
2019,Assam,20164670
2019,Maharashtra,17580626
2020,West Bengal,103118361
2020,Karnataka,57889648
2020,Andhra Pradesh,42071222
2020,Odisha,33503731
2020,Assam,26398520
2021,Karnataka,113889946
2021,West Bengal,76565029
2021,Andhra Pradesh,69958971
2021,Tamil Nadu,37474400
2021,Maharashtra,32125499
2022,Karnataka,78550009
2022,West Bengal,59053202
2022,Andhra Pradesh,49321781
2022,Maharashtra,39912616
2022,Tamil Nadu,32981401
2023,Karnataka,28771178
2023,West Bengal,20643534
2023,Andhra Pradesh,10812360
2023,Maharashtra,8593226
2023,Tamil Nadu,7535766
