Year,Party Name,Amount
2019,ANANTADEB MADANMOHAN & CO.,48454635
2019,SHEW PRATAP NATHMULL Co.,20506425
2019,FAIR DEAL TRADERS,20164670
2019,SRI BALAJI TRADING CO.,12576063
2019,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,10649994
2020,SHEW PRATAP NATHMULL Co.,68036908
2020,FAIR DEAL TRADERS,26398520
2020,PATRA ENTERPRISES,21655015
2020,ANANTADEB MADANMOHAN & CO.,19892541
2020,SRI BALAJI TRADING CO.,18198929
2021,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,50085496
2021,SRI BALAJI TRADING CO.,42755074
2021,ANANTADEB MADANMOHAN & CO.,35285520
2021,SHEW PRATAP NATHMULL Co.,28981855
2021,S.R.ENTERPRISES,23564936
2022,SRI BALAJI TRADING CO.,30372536
2022,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,26521912
2022,ANANTADEB MADANMOHAN & CO.,23125947
2022,FAIR DEAL TRADERS,22866095
2022,A.R.TRADERS,22085992
2023,SHEW PRATAP NATHMULL Co.,15814280
2023,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,8152158
2023,MTR Foods Private Limited # TRAD,8008176
2023,BOSSMAN INSTRUMENT TECHNOLOGY,7273030
2023,SRI BALAJI TRADING CO.,7029835
