Month,Item Name,Fabric Kgs
Jan,SF54 BLUE,35644
Jan,HF54 BLUE,34769
Jan,24MESHLQ42 BLUE,33315
Jan,HPF54 S.BLUE,25568
Jan,PPWovenSack,22621
Feb,24MESHLQ42 BLUE,44627
Feb,SF54 BLUE,33085
Feb,HF54 BLUE,26663
Feb,KANGAROO54 BLUE,24229
Feb,PPWovenSack,23857
Mar,24MESHLQ42 BLUE,45993
Mar,SF54 BLUE,32002
Mar,HF54 BLUE,30895
Mar,PPWovenSack,30680
Mar,KANGAROO54 BLUE,27964
Apr,SF54 BLUE,32760
Apr,KANGAROO54 BLUE,27547
Apr,PPWovenSack,26683
Apr,24MESHLQ42 BLUE,23075
Apr,PF54 BLUE,20629
May,SF54 BLUE,53924
May,PPWovenSack,36118
May,PF54 BLUE,35004
May,24MESHLQ42 BLUE,22169
May,KANGAROO54 BLUE,20316
Jun,SF54 BLUE,53829
Jun,PF54 BLUE,35715
Jun,KANGAROO54 BLUE,33982
Jun,24MESHLQ42 BLUE,26549
Jun,PPWovenSack,24926
Jul,SF54 BLUE,60989
Jul,KANGAROO54 BLUE,36488
Jul,24MESHLQ42 BLUE,29550
Jul,PF54 BLUE,27441
Jul,PPWovenSack,22784
Aug,SF54 BLUE,55265
Aug,24MESHLQ42 BLUE,38743
Aug,SF104 GREEN,22837
Aug,PPWovenSack,22790
Aug,HF54 BLUE,22001
Sep,SF54 BLUE,59001
Sep,HF54 BLUE,33753
Sep,24MESHLQ42 BLUE,31024
Sep,PPWovenSack,26748
Sep,PL54 BLUE,19009
Oct,SF54 BLUE,38584
Oct,HF54 BLUE,29341
Oct,PPWovenSack,26188
Oct,24MESHLQ42 BLUE,21413
Oct,SF104GREEN,11916
Nov,SF54 BLUE,45201
Nov,HF54 BLUE,30458
Nov,24MESHLQ42 BLUE,19940
Nov,PPWovenSack,17750
Nov,HPF54 S.BLUE,17605
Dec,SF54 BLUE,52881
Dec,24MESHLQ42 BLUE,36588
Dec,HF54 BLUE,35816
Dec,PF54 BLUE,23653
Dec,PPWovenSack,22790
