Year,Item Name,Sold Kgs
2019,SF54 BLUE,117402
2019,PPWovenSack,68771
2019,24MESHLQ42 BLUE,60204
2019,HF54 BLUE,54691
2019,KANGAROO54 BLUE,52950
2020,HDPE-HaldiaT9,160000
2020,SF54 BLUE,151082
2020,HF54 BLUE,100689
2020,24MESHLQ42 BLUE,91119
2020,HDPE-55EF010,86000
2021,SF54 BLUE,178653
2021,HDPE-HaldiaT9,116900
2021,24MESHLQ42 BLUE,110981
2021,HF54 BLUE,107966
2021,MonofilamentWaste,88916
2022,HDPE-HaldiaT9,94000
2022,24MESHLQ42 BLUE,90435
2022,MonofilamentWaste,82124
2022,SF54 BLUE,75692
2022,KANGAROO54 BLUE,60976
2023,HDPE-HaldiaT9,71000
2023,HDPE-55EF010,21000
2023,24MESHLQ42 BLUE,18120
2023,SF54 BLUE,17736
2023,MonofilamentWaste,17192
