Month,Party Name,Sold Kgs
Jan,BOSSMAN INSTRUMENT TECHNOLOGY,56627
Jan,SRILAL PACHISIA & Co.,53165
Jan,FAIR DEAL TRADERS,41425
Jan,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,38722
Jan,SHEW PRATAP NATHMULL Co.,31892
Feb,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,60744
Feb,SHEW PRATAP NATHMULL Co.,55687
Feb,GUGANRAM SATNARAIN,46850
Feb,SRI BALAJI TRADING CO.,46277
Feb,ANANTADEB MADANMOHAN & CO.,44510
Mar,SHEW PRATAP NATHMULL Co.,79054
Mar,GUGANRAM SATNARAIN,45691
Mar,FAIR DEAL TRADERS,45313
Mar,SATHYAMOORTHY ENTERPRISES,36590
Mar,S.R.ENTERPRISES,35509
Apr,RAGHUNATH AGARWALA,43506
Apr,ANANTADEB MADANMOHAN & CO.,37726
Apr,PATRA ENTERPRISES,29851
Apr,MTR Foods Private Limited,27238
Apr,SRI BALAJI TRADING CO.,24078
May,SHEW PRATAP NATHMULL Co.,100282
May,ANANTADEB MADANMOHAN & CO.,47858
May,FAIR DEAL TRADERS,37289
May,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,35123
May,MTR Foods Private Limited,35087
Jun,SHEW PRATAP NATHMULL Co.,90333
Jun,ANANTADEB MADANMOHAN & CO.,59260
Jun,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,40303
Jun,RUDRAPPA,37000
Jun,PATRA ENTERPRISES,33735
Jul,SHEW PRATAP NATHMULL Co.,77675
Jul,GUGANRAM SATNARAIN,65615
Jul,S.R.ENTERPRISES,54101
Jul,SRI BALAJI TRADING CO.,46057
Jul,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,31009
Aug,ANANTADEB MADANMOHAN & CO.,62407
Aug,PATRA ENTERPRISES,48772
Aug,SRI BALAJI TRADING CO.,41438
Aug,BOSSMAN INSTRUMENT TECHNOLOGY,27098
Aug,SRI VENKATESHWARA FIBRE UDYOG PVT LTD.,25107
Sep,ANANTADEB MADANMOHAN & CO.,55631
Sep,SATHYAMOORTHY ENTERPRISES,37589
Sep,PATRA ENTERPRISES,33809
Sep,BOSSMAN INSTRUMENT TECHNOLOGY,32318
Sep,SHEW PRATAP NATHMULL Co.,31735
Oct,ANANTADEB MADANMOHAN & CO.,59350
Oct,BOSSMAN INSTRUMENT TECHNOLOGY,38553
Oct,S.R.ENTERPRISES,38149
Oct,FAIR DEAL TRADERS,30933
Oct,SATHYAMOORTHY ENTERPRISES,29289
Nov,ANANTADEB MADANMOHAN & CO.,90454
Nov,S.R.ENTERPRISES,49509
Nov,FAIR DEAL TRADERS,47008
Nov,SRI BALAJI TRADING CO.,39528
Nov,SHEW PRATAP NATHMULL Co.,29282
Dec,KANAKA DURGA GENERAL STORES,63560
Dec,SHEW PRATAP NATHMULL Co.,50849
Dec,SRI BALAJI TRADING CO.,50485
Dec,FAIR DEAL TRADERS,46206
Dec,BOSSMAN INSTRUMENT TECHNOLOGY,39000
