Month,Item Name,Amount
Jan,24MESHLQ42 BLUE,9795540
Jan,SF54 BLUE,8641051
Jan,HF54 BLUE,5800800
Jan,KANGAROO54 BLUE,5298375
Jan,HPF54 S.BLUE,5009500
Feb,SF54 BLUE,11747550
Feb,24MESHLQ42 BLUE,9820605
Feb,KANGAROO54 BLUE,7244250
Feb,HF54 BLUE,6904200
Feb,PF54 BLUE,6723526
Mar,SF54 BLUE,8667550
Mar,24MESHLQ42 BLUE,7919535
Mar,KANGAROO54 BLUE,7228875
Mar,HF54 BLUE,6517800
Mar,PF54 BLUE,6495375
Apr,SF54 BLUE,10380310
Apr,KANGAROO54 BLUE,4852376
Apr,PF54 BLUE,4553625
Apr,HF54 BLUE,4470600
Apr,PPWovenSack,4429242
May,SF54 BLUE,13957000
May,HF54 BLUE,10762050
May,24MESHLQ42 BLUE,9302340
May,PF54 BLUE,7684711
May,SF104 GREEN,7385921
Jun,SF54 BLUE,15171450
Jun,24MESHLQ42 BLUE,11558580
Jun,HF54 BLUE,10238325
Jun,PF54 BLUE,8581459
Jun,KANGAROO54 BLUE,7951350
Jul,SF54 BLUE,14664600
Jul,24MESHLQ42 BLUE,9738330
Jul,HF54 BLUE,5512800
Jul,KANGAROO54 BLUE,5425225
Jul,20MESHMQ48 BLUE,5111208
Aug,SF54 BLUE,11279895
Aug,24MESHLQ42 BLUE,6606045
Aug,HF54 BLUE,6150300
Aug,SF104 GREEN,4362516
Aug,PF54 BLUE,3695750
Sep,SF54 BLUE,13438700
Sep,HF54 BLUE,9070200
Sep,24MESHLQ42 BLUE,7890780
Sep,SF104 GREEN,5846748
Sep,PPWovenSack,3893642
Oct,SF54 BLUE,8811150
Oct,24MESHLQ42 BLUE,7821540
Oct,HF54 BLUE,6576000
Oct,HDPE-HaldiaT9,5030000
Oct,PPWovenSack,4072326
Nov,SF54 BLUE,10413530
Nov,KANGAROO54 BLUE,5921100
Nov,HF54 BLUE,5555040
Nov,24MESHLQ42 BLUE,5356080
Nov,PF54 BLUE,5262375
Dec,SF54 BLUE,11650170
Dec,24MESHLQ42 BLUE,10878915
Dec,HF54 BLUE,7739760
Dec,PF54 BLUE,6676625
Dec,KANGAROO54 BLUE,5432250
