ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
"12MESHHQ42""BLUE",1/2020,Jan,2020,AP,MANI ENTERPRISES,,,107.34,720,35,25200
"12MESHHQ42""BLUE",8/2020,Aug,2020,KA,GOUTAM ENTERPRISES,,,53.64,360,40,14400
"12MESHHQ42""BLUE",10/2020,Oct,2020,AP,"POLASANAPALLI & CO.,",,,107.31,720,40,28800
"12MESHHQ42""BLUE",1/2021,Jan,2021,GJ,GUGANRAM SATNARAIN,691.3,4860,417.55,2880,152,108000
"12MESHHQ42""BLUE",2/2021,Feb,2021,TN,SATHYAMOORTHY ENTERPRISES,731.6,5250,71.58,510,80,20400
"12MESHHQ42""BLUE",3/2021,Mar,2021,,,1278.7,8640,,,,
"12MESHHQ42""BLUE",4/2021,Apr,2021,AP,"SRI BALAJI TRADING CO.,",,,54.22,360,36,12960
"12MESHHQ42""BLUE",6/2021,Jun,2021,AP,"POLASANAPALLI & CO.,",,,48.42,360,40,14400
"12MESHHQ42""BLUE",7/2021,Jul,2021,AP,"SRI BALAJI TRADING CO.,",,,52.91,360,36,12960
"12MESHHQ42""BLUE",12/2021,Dec,2021,AP,"SRI BALAJI TRADING CO.,",,,50.18,360,36,12960
"12MESHHQ42""BLUE",1/2022,Jan,2022,TN,ASHOK HARDWARE & ALLIED PRODUCTS,,,105.42,720,70,25200
"12MESHHQ42""BLUE",2/2022,Feb,2022,AP,"POLASANAPALLI & CO.,",,,53.83,360,40,14400
"12MESHHQ42""BLUE",3/2022,Mar,2022,AP,"SRI BALAJI TRADING CO.,",,,52.7,360,36,12960
"12MESHHQ42""BLUE",4/2022,Apr,2022,WB,"ANANTADEB MADANMOHAN & CO.,",,,53.8,360,36,12960
"12MESHHQ42""BLUE",5/2022,May,2022,AP,"POLASANAPALLI & CO.,",,,161.94,1080,76,41760
"12MESHHQ42""BLUE",6/2022,Jun,2022,AP,"SRI BALAJI TRADING CO.,",,,51.58,360,36,12960
"12MESHHQ42""BLUE",7/2022,Jul,2022,AP,"SRI BALAJI TRADING CO.,",,,51.9,360,36,12960
"12MESHHQ42""BLUE",9/2022,Sep,2022,AP,"SRI BALAJI TRADING CO.,",,,50.82,360,36,12960
"12MESHHQ42""BLUE",11/2022,Nov,2022,GJ,GUGANRAM SATNARAIN,,,107.4,750,40,30000
"12MESHHQ42""BLUE",12/2022,Dec,2022,AP,"SRI BALAJI TRADING CO.,",,,159.54,1140,153,41580
"12MESHHQ42""BLUE",1/2023,Jan,2023,AP,"SRI BALAJI TRADING CO.,",,,155.04,1080,107,38520
"12MESHHQ42""BLUE",5/2019,May,2019,AP,MANI ENTERPRISES,,,44,300,35,10500
"12MESHHQ42""BLUE",2/2023,Feb,2023,PU,GAYATHRI AGENCIES,,,49.48,360,40,14400
"12MESHHQ42""BLUE",8/2019,Aug,2019,AP,MANI ENTERPRISES,545.5,3660,268.27,1800,35,63000
18mmBrown,2/2021,Feb,2021,KA,SONITE CORPORATION,,,10.6,10.6,135,1431
18mmBrown,4/2021,Apr,2021,KA,SONITE CORPORATION,,,46,46,270,6210
"24MESHLQ38""PURPLE",3/2021,Mar,2021,,,97.1,2520,,,,
"24MESHLQ38""PURPLE",4/2021,Apr,2021,AP,"SRI BALAJI TRADING CO.,",312,7830,98.1,2520,12.5,31500
"24MESHLQ38""PURPLE",5/2021,May,2021,,,406.5,10620,,,,
