ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
1,1/2020,1,2,1,4,,,107.34,720,35,25200,-107.34
1,8/2020,8,2,7,27,,,53.64,360,40,14400,-53.64
1,10/2020,10,2,1,7,,,107.31,720,40,28800,-107.31
1,1/2021,1,3,6,19,691.3,4860,417.55,2880,152,108000,273.75
1,2/2021,2,3,14,74,731.6,5250,71.58,510,80,20400,660.02
1,3/2021,3,3,,,1278.7,8640,,,,,1278.7
1,4/2021,4,3,1,8,,,54.22,360,36,12960,-54.22
1,6/2021,6,3,1,7,,,48.42,360,40,14400,-48.42
1,7/2021,7,3,1,8,,,52.91,360,36,12960,-52.91
1,12/2021,12,3,1,8,,,50.18,360,36,12960,-50.18
1,1/2022,1,4,14,69,,,105.42,720,70,25200,-105.42
1,2/2022,2,4,1,7,,,53.83,360,40,14400,-53.83
1,3/2022,3,4,1,8,,,52.7,360,36,12960,-52.7
1,4/2022,4,4,17,81,,,53.8,360,36,12960,-53.8
1,5/2022,5,4,1,7,,,161.94,1080,76,41760,-161.94
1,6/2022,6,4,1,8,,,51.58,360,36,12960,-51.58
1,7/2022,7,4,1,8,,,51.9,360,36,12960,-51.9
1,9/2022,9,4,1,8,,,50.82,360,36,12960,-50.82
1,11/2022,11,4,6,19,,,107.4,750,40,30000,-107.4
1,12/2022,12,4,1,8,,,159.54,1140,153,41580,-159.54
1,1/2023,1,5,1,8,,,155.04,1080,107,38520,-155.04
1,5/2019,5,1,1,4,,,44,300,35,10500,-44
1,2/2023,2,5,12,63,,,49.48,360,40,14400,-49.48
1,8/2019,8,1,1,4,545.5,3660,268.27,1800,35,63000,277.23
10,2/2021,2,3,7,37,,,10.6,10.6,135,1431,-10.6
10,4/2021,4,3,7,37,,,46,46,270,6210,-46
100,3/2021,3,3,,,97.1,2520,,,,,97.1
100,4/2021,4,3,1,8,312,7830,98.1,2520,12.5,31500,213.9
100,5/2021,5,3,,,406.5,10620,,,,,406.5
100,6/2021,6,3,1,8,,,155.08,4050,12,48600,-155.08
100,7/2021,7,3,,,392.5,10440,,,,,392.5
100,8/2021,8,3,1,8,68.3,1710,406.82,10800,24,129600,-338.52
100,12/2021,12,3,,,63.4,1620,,,,,63.4
100,2/2022,2,4,6,19,,,162.8,4050,12,48600,-162.8
